iter	Passed	Remaining
0	55	55512
1	56	28319
2	57	19028
3	57	14389
4	58	11593
5	58	9730
6	59	8397
7	59	7392
8	60	6613
9	60	5991
10	61	5492
11	61	5068
12	62	4711
13	62	4401
14	62	4134
15	63	3901
16	63	3694
17	64	3510
18	64	3347
19	65	3199
20	65	3063
21	66	2940
22	66	2831
23	67	2730
24	67	2635
25	68	2550
26	68	2471
27	69	2399
28	69	2326
29	69	2262
30	70	2200
31	70	2143
32	71	2089
33	71	2039
34	72	1992
35	72	1946
36	73	1902
37	73	1864
38	74	1825
39	74	1787
40	74	1751
41	75	1717
42	75	1685
43	76	1656
44	76	1626
45	77	1599
46	77	1572
47	77	1545
48	78	1520
49	78	1496
50	79	1472
51	79	1451
52	80	1429
53	80	1408
54	80	1388
55	81	1369
56	81	1351
57	82	1333
58	82	1315
59	82	1298
60	83	1282
61	83	1266
62	84	1251
63	84	1236
64	84	1222
65	85	1209
66	85	1195
67	86	1182
68	86	1168
69	87	1156
70	87	1144
71	87	1133
72	88	1121
73	88	1109
74	89	1098
75	89	1087
76	90	1085
77	90	1075
78	91	1064
79	91	1055
80	92	1045
81	92	1036
82	92	1026
83	93	1018
84	93	1009
85	94	1000
86	94	992
87	94	984
88	95	976
89	95	969
90	96	962
91	96	955
92	97	948
93	97	940
94	98	933
95	98	927
96	98	921
97	99	914
98	99	908
99	100	902
100	100	895
101	101	889
102	101	882
103	101	876
104	102	870
105	102	864
106	102	858
107	103	852
108	103	847
109	104	845
110	105	840
111	105	835
112	105	830
113	106	825
114	106	820
115	106	814
116	107	810
117	107	805
118	108	800
119	108	796
120	109	792
121	109	787
122	109	783
123	110	778
124	110	774
125	111	770
126	111	766
127	111	762
128	112	758
129	112	755
130	113	750
131	113	746
132	114	743
133	114	739
134	114	735
135	115	732
136	115	728
137	116	724
138	116	721
139	116	717
140	117	714
141	118	715
142	118	712
143	119	708
144	119	705
145	120	702
146	120	700
147	121	697
148	121	693
149	121	691
150	122	687
151	122	685
152	123	682
153	123	679
154	124	676
155	124	673
156	124	670
157	125	667
158	125	665
159	126	662
160	126	659
161	126	656
162	127	654
163	127	651
164	128	649
165	128	646
166	129	644
167	129	641
168	129	638
169	130	636
170	130	633
171	131	631
172	131	628
173	131	626
174	132	624
175	132	621
176	133	619
177	133	617
178	134	614
179	134	612
180	134	610
181	135	608
182	135	605
183	135	603
184	136	600
185	136	598
186	137	596
187	137	594
188	138	592
189	138	590
190	138	588
191	139	586
192	139	584
193	140	582
194	140	580
195	140	578
196	141	576
197	141	573
198	142	572
199	142	570
200	143	568
201	143	566
202	143	564
203	144	562
204	144	560
205	144	558
206	145	556
207	145	554
208	146	553
209	146	551
210	147	549
211	147	547
212	147	546
213	148	544
214	148	542
215	148	540
216	149	538
217	149	536
218	150	535
219	150	533
220	151	532
221	151	530
222	151	528
223	152	527
224	152	525
225	153	524
226	153	522
227	153	520
228	154	519
229	154	517
230	155	516
231	155	514
232	156	513
233	156	511
234	156	510
235	157	509
236	157	507
237	158	505
238	158	504
239	158	502
240	159	501
241	160	502
242	160	500
243	161	499
244	161	497
245	161	496
246	162	494
247	162	493
248	163	492
249	163	490
250	163	489
251	164	487
252	164	486
253	165	484
254	165	483
255	166	482
256	166	481
257	166	480
258	167	478
259	167	477
260	168	476
261	168	474
262	168	473
263	169	472
264	169	471
265	170	469
266	170	468
267	170	466
268	171	465
269	171	464
270	172	463
271	172	462
272	173	460
273	173	459
274	173	458
275	174	456
276	174	455
277	174	454
278	175	453
279	175	452
280	176	450
281	176	449
282	177	448
283	177	447
284	178	446
285	178	445
286	178	444
287	179	443
288	179	442
289	180	441
290	180	440
291	181	438
292	181	438
293	181	436
294	182	435
295	182	434
296	183	433
297	183	432
298	184	431
299	184	430
300	184	429
301	185	428
302	185	426
303	185	425
304	186	424
305	186	423
306	187	422
307	187	421
308	188	420
309	188	419
310	188	417
311	189	416
312	189	416
313	189	415
314	190	414
315	190	413
316	191	411
317	191	410
318	191	409
319	192	408
320	192	407
321	193	406
322	193	405
323	194	404
324	194	403
325	194	402
326	195	401
327	195	400
328	196	400
329	196	399
330	197	398
331	197	397
332	197	396
333	198	395
334	198	394
335	199	393
336	199	392
337	200	391
338	200	390
339	200	390
340	201	389
341	201	388
342	202	387
343	202	386
344	202	385
345	203	384
346	203	383
347	204	382
348	204	381
349	204	380
350	205	379
351	205	378
352	206	377
353	206	376
354	207	376
355	207	375
356	207	374
357	208	373
358	208	372
359	209	371
360	209	370
361	209	369
362	210	369
363	210	368
364	211	367
365	211	366
366	211	365
367	212	364
368	212	363
369	213	362
370	213	362
371	213	361
372	214	360
373	214	359
374	215	358
375	215	358
376	216	357
377	216	356
378	216	355
379	217	354
380	217	353
381	218	352
382	218	352
383	218	351
384	219	350
385	219	349
386	220	348
387	220	347
388	220	346
389	221	346
390	221	345
391	222	344
392	222	343
393	222	342
394	223	341
395	223	341
396	224	340
397	224	339
398	224	338
399	225	338
400	225	337
401	226	336
402	226	335
403	226	334
404	227	334
405	227	333
406	228	332
407	228	331
408	228	330
409	229	329
410	229	329
411	230	328
412	230	327
413	231	327
414	231	326
415	231	325
416	232	324
417	232	324
418	233	323
419	233	322
420	234	321
421	234	321
422	234	320
423	235	319
424	235	318
425	235	317
426	236	317
427	236	316
428	237	315
429	237	314
430	237	314
431	238	313
432	238	312
433	239	311
434	239	311
435	240	310
436	240	309
437	240	309
438	241	308
439	241	307
440	242	306
441	242	306
442	243	305
443	243	304
444	243	304
445	244	303
446	244	302
447	245	302
448	245	301
449	245	300
450	246	299
451	246	299
452	247	298
453	247	297
454	248	297
455	248	296
456	248	295
457	249	295
458	249	294
459	250	293
460	250	292
461	250	292
462	251	291
463	251	290
464	252	289
465	252	289
466	252	288
467	253	287
468	253	287
469	254	286
470	254	285
471	254	285
472	255	284
473	255	283
474	256	283
475	256	282
476	257	281
477	257	281
478	258	280
479	258	280
480	258	279
481	259	278
482	259	278
483	260	277
484	260	276
485	260	275
486	261	275
487	261	274
488	262	273
489	262	273
490	262	272
491	263	271
492	263	271
493	264	270
494	264	270
495	265	269
496	265	268
497	265	268
498	266	267
499	266	266
500	267	266
501	267	265
502	268	264
503	268	264
504	269	263
505	269	263
506	269	262
507	270	261
508	270	261
509	271	260
510	271	259
511	272	259
512	272	258
513	272	258
514	273	257
515	273	256
516	274	256
517	274	255
518	275	254
519	275	254
520	276	253
521	276	253
522	276	252
523	277	251
524	277	251
525	278	250
526	278	250
527	278	249
528	279	248
529	279	248
530	280	247
531	280	246
532	281	246
533	281	245
534	281	245
535	282	244
536	282	243
537	283	243
538	283	242
539	283	241
540	284	241
541	284	240
542	285	239
543	285	239
544	285	238
545	286	238
546	286	237
547	287	236
548	287	236
549	288	235
550	288	235
551	288	234
552	289	233
553	289	233
554	290	232
555	290	231
556	290	231
557	291	230
558	291	230
559	292	229
560	292	228
561	292	228
562	293	227
563	293	227
564	294	226
565	294	225
566	295	225
567	295	224
568	295	224
569	296	223
570	296	222
571	297	222
572	297	221
573	297	221
574	298	220
575	298	219
576	299	219
577	299	218
578	299	218
579	300	217
580	300	216
581	301	216
582	301	215
583	301	215
584	302	214
585	302	213
586	303	213
587	303	212
588	304	212
589	304	211
590	304	211
591	305	210
592	305	209
593	306	209
594	306	208
595	307	208
596	308	208
597	308	207
598	309	206
599	309	206
600	309	205
601	310	205
602	310	204
603	310	203
604	311	203
605	311	202
606	312	202
607	312	201
608	313	200
609	313	200
610	313	199
611	314	199
612	314	198
613	315	198
614	315	197
615	315	196
616	316	196
617	316	195
618	317	195
619	317	194
620	317	194
621	318	193
622	318	192
623	319	192
624	319	191
625	319	191
626	320	190
627	320	189
628	321	189
629	321	188
630	321	188
631	322	187
632	322	187
633	323	186
634	323	186
635	323	185
636	324	184
637	324	184
638	325	183
639	325	183
640	326	182
641	326	182
642	327	181
643	327	181
644	327	180
645	328	179
646	328	179
647	329	178
648	329	178
649	330	177
650	330	177
651	330	176
652	331	176
653	331	175
654	332	174
655	332	174
656	332	173
657	333	173
658	333	172
659	334	172
660	334	171
661	334	171
662	335	170
663	335	169
664	336	169
665	336	168
666	337	168
667	337	167
668	337	167
669	338	166
670	338	166
671	339	165
672	339	165
673	340	164
674	340	163
675	340	163
676	341	162
677	341	162
678	342	161
679	342	161
680	343	160
681	343	160
682	344	159
683	344	159
684	344	158
685	345	157
686	345	157
687	346	156
688	346	156
689	347	155
690	347	155
691	347	154
692	348	154
693	348	153
694	349	153
695	349	152
696	350	152
697	350	151
698	350	151
699	351	150
700	351	150
701	352	149
702	352	148
703	353	148
704	353	147
705	353	147
706	354	146
707	354	146
708	355	145
709	355	145
710	356	144
711	356	144
712	356	143
713	357	143
714	357	142
715	357	141
716	358	141
717	358	140
718	359	140
719	359	139
720	360	139
721	360	138
722	361	138
723	361	137
724	362	137
725	362	136
726	362	136
727	363	135
728	363	135
729	364	134
730	364	134
731	364	133
732	365	133
733	365	132
734	366	131
735	366	131
736	366	130
737	367	130
738	367	129
739	368	129
740	368	128
741	369	128
742	369	127
743	369	127
744	370	126
745	370	126
746	370	125
747	371	125
748	371	124
749	372	124
750	372	123
751	373	123
752	373	122
753	374	122
754	374	121
755	374	120
756	375	120
757	376	120
758	376	119
759	377	119
760	377	118
761	378	118
762	378	117
763	379	117
764	379	116
765	379	116
766	380	115
767	380	115
768	381	114
769	381	114
770	382	113
771	382	112
772	382	112
773	383	111
774	383	111
775	384	110
776	384	110
777	385	109
778	385	109
779	386	108
780	386	108
781	386	107
782	387	107
783	387	106
784	388	106
785	388	105
786	388	105
787	389	104
788	389	104
789	390	103
790	390	103
791	390	102
792	391	102
793	391	101
794	392	101
795	392	100
796	392	100
797	393	99
798	393	99
799	394	98
800	394	98
801	395	97
802	395	97
803	396	96
804	396	96
805	396	95
806	397	95
807	397	94
808	398	93
809	398	93
810	398	92
811	399	92
812	399	91
813	400	91
814	400	90
815	400	90
816	401	89
817	401	89
818	402	88
819	403	88
820	403	88
821	404	87
822	404	87
823	404	86
824	405	85
825	405	85
826	406	84
827	406	84
828	406	83
829	407	83
830	407	82
831	408	82
832	408	81
833	409	81
834	409	80
835	409	80
836	410	79
837	410	79
838	411	78
839	411	78
840	412	77
841	412	77
842	413	76
843	413	76
844	413	75
845	414	75
846	414	74
847	415	74
848	415	73
849	415	73
850	416	72
851	416	72
852	417	71
853	417	71
854	417	70
855	418	70
856	418	69
857	419	69
858	419	68
859	419	68
860	420	67
861	420	67
862	421	66
863	421	66
864	422	65
865	422	65
866	422	64
867	423	64
868	423	63
869	424	63
870	424	62
871	424	62
872	425	61
873	425	61
874	426	60
875	426	60
876	426	59
877	427	59
878	427	58
879	428	58
880	428	57
881	429	57
882	429	56
883	429	56
884	430	55
885	430	55
886	431	54
887	431	54
888	432	53
889	432	53
890	432	52
891	433	52
892	433	51
893	434	51
894	434	50
895	434	50
896	435	49
897	435	49
898	435	48
899	436	48
900	436	48
901	437	47
902	437	47
903	438	46
904	438	46
905	439	45
906	439	45
907	439	44
908	440	44
909	440	43
910	441	43
911	442	42
912	442	42
913	442	41
914	443	41
915	443	40
916	444	40
917	444	39
918	444	39
919	445	38
920	445	38
921	446	37
922	446	37
923	446	36
924	447	36
925	447	35
926	448	35
927	448	34
928	449	34
929	449	33
930	449	33
931	450	32
932	450	32
933	450	31
934	451	31
935	451	30
936	452	30
937	452	29
938	453	29
939	453	28
940	453	28
941	454	27
942	454	27
943	455	26
944	455	26
945	456	26
946	456	25
947	457	25
948	457	24
949	458	24
950	458	23
951	458	23
952	459	22
953	459	22
954	460	21
955	460	21
956	461	20
957	461	20
